nome,nascimento,valor,email
Cliente 01,cliente01@teste.com.br ,25/05/1985,042.42
Cliente 02,cliente02@teste.com.br ,04/05/1973,153.73
Cliente 03,cliente03@teste.com.br ,20/08/1977,282.11
Cliente 04,cliente04@teste.com.br ,31/10/1981,967.29
Cliente 05,cliente05@teste.com.br ,18/11/1984,835.39
Cliente 06,cliente06@teste.com.br ,09/10/1985,335.52
Cliente 07,cliente07@teste.com.br ,12/05/1990,373.86
Cliente 08,cliente08@teste.com.br ,05/10/1992,908.19
Cliente 09,cliente09@teste.com.br ,02/04/1998,943.71
Cliente 10,cliente10@teste.com.br ,07/06/2002,410.67
